respondent_id;Sexo;idade;FaixaIdade;Escolaridade;EscolaridadeOutro;Renda familiar;RegionalMora;BairroUMora;RegionalTouE;BairroUtrabalha;visitouComplexoCMP;freqAtrativosLagoaAtvlazer;NOfrequente;Nofrequenteoutro;MeioTransPamp1;MeioTransPamp2;MeioTransPamp3;MeioTransPamp4;MeioTransPamp5;MeioTransPamp6;MeioTransPamp7;MeioTransPamp8;MeioTransPamp9;aluguel_equipamentos;utiliza_fonte_info_pamp;FonteInfPamp1;FonteInfPamp2;FonteInfPamp3;FonteInfPamp4;FonteInfPamp5;FonteInfPamp6;FonteInfPamp7;FonteInfPamp8;FonteInfPamp9;FonteInfPamp10;FonteInfPamp11;FonteInfPamp12;Motivo_Pampulha;Motivo_PampulhaOutro;tipo_evento;QuantEVPampulha;AtrativosVisitadosPamp1;AtrativosVisitadosPamp2;AtrativosVisitadosPamp3;AtrativosVisitadosPamp4;AtrativosVisitadosPamp5;AtrativosVisitadosPamp6;AtrativosVisitadosPamp7;AtrativosVisitadosPamp8;AtrativosVisitadosPamp9;AtrativosVisitadosPamp10;AtrativosVisitadosPamp11;AtrativosVisitadosPamp12;AtrativosVisitadosPamp13;AtrativosVisitadosPamp_outro;AtrativosRecomendaria1;AtrativosRecomendaria2;AtrativosRecomendaria3;AtrativosRecomendaria4;AtrativosRecomendaria5;AtrativosRecomendaria6;AtrativosRecomendaria7;AtrativosRecomendaria8;AtrativosRecomendaria9;AtrativosRecomendaria10;AtrativosRecomendaria11;AtrativosRecomendaria12;AtrativosRecomendaria13;AtrativosRecomendaria14;AtrativosRecomendaria15;Seguranca;Limpeza da Lagoa;Limpeza dos atrativos;Limpeza da rua e orla;Informacao dos atrativos;Programacao_ opcoes de lazer e entretenimento_;Oferta de estabelecimentos de alimentacao;Mobilidade_atrativos;Mobilidade_Lagoa;Regional_ lazer;PrincipaisPreferenciasLazer_1;PrincipaisPreferenciasLazer_2;PrincipaisPreferenciasLazer_3;PrincipaisPreferenciasLazer_4;PrincipaisPreferenciasLazer_5;PrincipaisPreferenciasLazer_6;PrincipaisPreferenciasLazer_7;PrincipaisPreferenciasLazer_8;PrincipaisPreferenciasLazer_9;Indicaria_Pampulha_lazer;Precisa_melhorias;Quais_melhorias;Sabe_Patrimonio;Sabe_quais_espacos;QuaisParte_Conjunto1;QuaisParte_Conjunto2;QuaisParte_Conjunto3;QuaisParte_Conjunto4;QuaisParte_Conjunto5;QuaisParte_Conjunto6;QuaisParte_Conjunto7;QuaisParte_Conjunto8;QuaisParte_Conjunto9;QuaisParte_Conjunto10;QuaisParte_Conjunto11;QuaisParte_Conjunto12;QuaisParte_Conjunto13;QuaisParte_Conjunto14;QuaisParte_Conjunto15
11196165983;Feminino;24;De 16 a 24 anos;Ensino Superior completo;;Entre 7 SM e 10 SM _ RS 6986,01 a RS 9980,00;Pampulha;Castelo;Pampulha;Castelo;Sim;Uma vez por semestre;;;;Carro;;;;;;;;Sim_ em algumas vezes;Sim;Instagram;;;;;;;;;;;;Lazer_passeio;;;0;;Igreja Sao Francisco;Museu de arte da Pampulha;Casa do Baile;;;;;Mineirao;Mineirinho;Parque Guanabara;;;;;Igreja Sao Francisco;;;;;;;Mineirao;;;;;;;9;9;7;9;4;9;7;6;8;Centro-Sul;Bares Botecos e Restaurantes;;;;;;;;;Sim;Sim;Transporte Divulgacao;Sim;Sim;;Igreja Sao Francisco;Museu de arte da Pampulha;;;;;;Mineirao;Mineirinho;Parque Guanabara;;;;
11196082704;Feminino;44;De 35 a 44 anos;Ensino Medio completo_tecnico;;Entre 1 SM e 3 SM _ RS 998,01 a RS 2994,00;Pampulha;Castelo;Nao estuda_Nao trabalho_Trabalho itinerante;;Sim;Uma vez por semana;;;onibus;;;;;;;;;Nao;Nao;;;;;;;;;;;;;Lazer_passeio;;;0;;;;;;;;;;Mineirinho;Parque Guanabara;;;;;;;;;;;;;Mineirinho;;;;;;10;9;9;9;8;9;8;6;8;Pampulha;;;;;Atividades ao ar livre _parques praças bosques;;Consumo de lazer domestico _netflix reuniao de amigos videogames leitura;;;Sim;Sim;Sinal de internet em dias de jogos onibus com itinerario melhor em dias de jogos no Mineirao;Sim;Sim;;Igreja Sao Francisco;Museu de arte da Pampulha;Casa do Baile;;;;;;;;;;;
11196071920;Feminino;25;De 25 a 34 anos;Ensino Medio completo_tecnico;;NS;Noroeste;Santo Andre;Noroeste;Santo Andre;Sim;Nao frequento;Falta de tempo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Noroeste;;;Festas em locais privados_baladas eventos;;;Shoppings centers;;;;Sim;Sim;Limpeza;Nao;Nao;;;;;;;;;;;;;;;
11196053440;Masculino;16;De 16 a 24 anos;Ensino Fundamental completo;;Acima de 10 SM _ RS 9980,00;Pampulha;Castelo;Pampulha;Ouro Preto;Sim;Mais de uma vez por semana;;;;Carro;;;A pe;;;;;Nao;Sim;Instagram;;;;;;;;;;;;Lazer_passeio;;;3;;;;Casa do Baile;;;Zoologico e Jardim Botanico;;Mineirao;;Parque Guanabara;;;;;;;;;;Zoologico e Jardim Botanico;;Mineirao;;Parque Guanabara;;;;;5;1;10;9;10;10;10;8;10;Pampulha;;Cultura e arte _cinema teatro shows;;;Atividades ao ar livre _parques praças bosques;;;;;Sim;Sim;Despoluir a lagoa;Nao;Sim;;Igreja Sao Francisco;;Casa do Baile;;;;;;;;;;;
11196015887;Feminino;44;De 35 a 44 anos;Outro _especifique_;Fundamental Incompleto;NS;Noroeste;Santo Andre;Noroeste;Santo Andre;Sim;Nao frequento;Falta de tempo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Noroeste;Bares Botecos e Restaurantes;;;;Atividades ao ar livre _parques praças bosques;Shoppings centers;;;;Sim;Sim;Limpeza;Sim;Sim;;Igreja Sao Francisco;;;;;;;;;;;;;
11196007896;Feminino;25;De 25 a 34 anos;Ensino Superior completo;;Entre 7 SM e 10 SM _ RS 6986,01 a RS 9980,00;Pampulha;Castelo;Pampulha;Castelo;Sim;Uma vez por mes;;;;Carro;;;;;;;;Nao;Nao;;;;;;;;;;;;;Lazer_passeio;;;5;;Igreja Sao Francisco;Museu de arte da Pampulha;;;;;Parque Ecologico da Pampulha;Mineirao;Mineirinho;Parque Guanabara;;;;;Igreja Sao Francisco;Museu de arte da Pampulha;;;;;;Mineirao;;;;;;;10;5;10;10;9;10;7;10;10;Pampulha;;Cultura e arte _cinema teatro shows;;;;;;;;Sim;Nao;;Sim;Sim;;Igreja Sao Francisco;Museu de arte da Pampulha;Casa do Baile;;;;;Mineirao;;;;;;
11195992311;Masculino;33;De 25 a 34 anos;Ensino Fundamental completo;;Entre 1 SM e 3 SM _ RS 998,01 a RS 2994,00;Barreiro;Barreiro;Nao estuda_Nao trabalho_Trabalho itinerante;;Nao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Barreiro;Bares Botecos e Restaurantes;;Festas em locais privados_baladas eventos;;;Shoppings centers;Consumo de lazer domestico _netflix reuniao de amigos videogames leitura;;;NS_NR;NS;;Nao;Nao;;;;;;;;;;;;;;;
11195990350;Feminino;46;De 45 a 59 anos;Sem instrucao formal;;Ate 1 SM _ RS 998,00;Oeste;Palmeiras;Oeste;Palmeiras;Nao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NR;;;;;;;Consumo de lazer domestico _netflix reuniao de amigos videogames leitura;;;Sim;Sim;Melhor a agua e os bichos que tem la Oferta de mais opcoes de lazer;Sim;Nao;;;;;;;;;;;;;;;
11195973675;Masculino;40;De 35 a 44 anos;Ensino Medio completo_tecnico;;Entre 1 SM e 3 SM _ RS 998,01 a RS 2994,00;Oeste;Palmeiras;Oeste;Palmeiras;Sim;Nao frequento;Falta de tempo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Centro-Sul;Bares Botecos e Restaurantes;;Festas em locais privados_baladas eventos;;;;;;;Sim;NS;;Sim;Nao;;;;;;;;;;;;;;;
11195960626;Feminino;21;De 16 a 24 anos;Ensino Medio completo_tecnico;;Ate 1 SM _ RS 998,00;Noroeste;Santo Andre;Noroeste;Santo Andre;Sim;Uma vez por semestre;;;onibus;Carro;;;;;;App _99_ Uber_ Cabify;;Nao;Nao;;;;;;;;;;;;;Lazer_passeio;;;0;Aquario da Bacia do Rio Sao Francisco;Igreja Sao Francisco;;Casa do Baile;;Iate Clube;Zoologico e Jardim Botanico;Parque Ecologico da Pampulha;Mineirao;Mineirinho;Parque Guanabara;Orla da lagoa;;;Aquario da Bacia do Rio Sao Francisco;Igreja Sao Francisco;Museu de arte da Pampulha;Casa do Baile;;Iate Clube;Zoologico e Jardim Botanico;Parque Ecologico da Pampulha;Mineirao;Mineirinho;Parque Guanabara;Orla da lagoa;;;;10;1;10;10;10;10;6;10;10;Pampulha;;;;;Atividades ao ar livre _parques praças bosques;Shoppings centers;Consumo de lazer domestico _netflix reuniao de amigos videogames leitura;;;Sim;Sim;Limpeza;Sim;Nao;;;;;;;;;;;;;;;
11195955258;Feminino;26;De 25 a 34 anos;Ensino Superior completo;;Entre 1 SM e 3 SM _ RS 998,01 a RS 2994,00;Barreiro;Barreiro;Centro-Sul;CentroPenha;Sim;Uma vez por trimestre;;;;Carro;;;;;;;;Sim_ em algumas vezes;Nao;;;;;;;;;;;;;Participar de evento;;Shows;1;;Igreja Sao Francisco;Museu de arte da Pampulha;Casa do Baile;Casa Kubitschek;;;;Mineirao;;Parque Guanabara;Orla da lagoa;;;;;;;;;;;Mineirao;;Parque Guanabara;Orla da lagoa;;;;4;1;9;9;6;9;5;9;5;Centro-Sul;Bares Botecos e Restaurantes;Cultura e arte _cinema teatro shows;Festas em locais privados_baladas eventos;;;;Consumo de lazer domestico _netflix reuniao de amigos videogames leitura;;;Sim;Sim;Neutralizar o odor da lagoa;Sim;Sim;;Igreja Sao Francisco;;Casa do Baile;Casa Kubitschek;;;;Mineirao;;;Orla da lagoa;;;
11195934544;Masculino;42;De 35 a 44 anos;Ensino Medio completo_tecnico;;Entre 3 SM e 5 SM _ RS 2994,01 a RS 4990,00;Noroeste;Santo Andre;Nao estuda_Nao trabalho_Trabalho itinerante;;Sim;Uma vez por trimestre;;;;Carro;;;;;;;;Nao;Nao;;;;;;;;;;;;;Lazer_passeio;;;0;;Igreja Sao Francisco;;;;;Zoologico e Jardim Botanico;Parque Ecologico da Pampulha;Mineirao;;Parque Guanabara;Orla da lagoa;;;;;;;;;Zoologico e Jardim Botanico;;;;;;;;;3;5;6;5;NR_NA;NR_NA;NR_NA;8;7;Noroeste;Bares Botecos e Restaurantes;;;;;;Consumo de lazer domestico _netflix reuniao de amigos videogames leitura;;;Nao;Sim;Limpeza;Nao;Nao;;;;;;;;;;;;;;;
11195928266;Feminino;44;De 35 a 44 anos;Ensino Medio completo_tecnico;;Entre 1 SM e 3 SM _ RS 998,01 a RS 2994,00;Pampulha;Castelo;Nao estuda_Nao trabalho_Trabalho itinerante;;Sim;Uma vez por semestre;;;;Carro;;;;;;;;Nao;Nao;;;;;;;;;;;;;Lazer_passeio;;;0;;Igreja Sao Francisco;;Casa do Baile;;;;;Mineirao;Mineirinho;;;;;;Igreja Sao Francisco;;;;;;;Mineirao;;;;;;;8;5;6;6;9;9;8;8;9;Pampulha;;Cultura e arte _cinema teatro shows;;;;;;;;Sim;Sim;Seguranca Iluminacao;Sim;Sim;;Igreja Sao Francisco;;Casa do Baile;;;;;Mineirao;Mineirinho;;;;;
11195881208;Feminino;30;De 25 a 34 anos;Ensino Medio completo_tecnico;;Entre 3 SM e 5 SM _ RS 2994,01 a RS 4990,00;Oeste;Palmeiras;Oeste;Palmeiras;Sim;Uma vez por semestre;;;;Carro;;;;;;;;Nao;Nao;;;;;;;;;;;;;Outro _especifique_;Cartao postal da cidade;;0;;;;;;;;;;;Parque Guanabara;Orla da lagoa;;;;;;;;;;;;;Parque Guanabara;;;;;5;5;5;8;10;10;4;8;10;Centro-Sul;;;Festas em locais privados_baladas eventos;;Atividades ao ar livre _parques praças bosques;;;;;Sim;Nao;;Nao;Nao;;;;;;;;;;;;;;;
11195868087;Masculino;24;De 16 a 24 anos;Ensino Medio completo_tecnico;;Entre 1 SM e 3 SM _ RS 998,01 a RS 2994,00;Noroeste;Santo Andre;Noroeste;Santo Andre;Sim;Mais de uma vez por mes;;;;Carro;;;;;;;;Sim_ em algumas vezes;Nao;;;;;;;;;;;;;Lazer_passeio;;;0;;Igreja Sao Francisco;;;;;Zoologico e Jardim Botanico;Parque Ecologico da Pampulha;Mineirao;Mineirinho;Parque Guanabara;Orla da lagoa;;;;;;;;;;Parque Ecologico da Pampulha;;;;Orla da lagoa;;;;8;5;6;4;8;8;5;5;6;Pampulha;Bares Botecos e Restaurantes;Cultura e arte _cinema teatro shows;Festas em locais privados_baladas eventos;;Atividades ao ar livre _parques praças bosques;Shoppings centers;Consumo de lazer domestico _netflix reuniao de amigos videogames leitura;;;Sim;Sim;Limpeza;Nao;Nao;;;;;;;;;;;;;;;
11195851262;Masculino;17;De 16 a 24 anos;Outro _especifique_;Cursando ensino medio;NS;Noroeste;Santo Andre;Noroeste;Santo Andre;Nao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Noroeste;;Cultura e arte _cinema teatro shows;;;Atividades ao ar livre _parques praças bosques;Shoppings centers;;;;Nao Visitou a Pampulha;;;Nao;Nao;;;;;;;;;;;;;;;
11195849705;Feminino;35;De 35 a 44 anos;Ensino Medio completo_tecnico;;Entre 1 SM e 3 SM _ RS 998,01 a RS 2994,00;Oeste;Palmeiras;Nao estuda_Nao trabalho_Trabalho itinerante;;Nao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Centro-Sul;;Cultura e arte _cinema teatro shows;;;Atividades ao ar livre _parques praças bosques;Shoppings centers;;;;NS_NR;NS;;Nao;Nao;;;;;;;;;;;;;;;
11195798065;Feminino;43;De 35 a 44 anos;Ensino Medio completo_tecnico;;Entre 1 SM e 3 SM _ RS 998,01 a RS 2994,00;Noroeste;Santo Andre;Noroeste;Santo Andre;Sim;Uma vez por mes;;;;;;;;;;App _99_ Uber_ Cabify;;Sim_ em algumas vezes;Nao;;;;;;;;;;;;;Lazer_passeio;;;2;Aquario da Bacia do Rio Sao Francisco;Igreja Sao Francisco;Museu de arte da Pampulha;Casa do Baile;Casa Kubitschek;Iate Clube;Zoologico e Jardim Botanico;Parque Ecologico da Pampulha;Mineirao;Mineirinho;Parque Guanabara;Orla da lagoa;;;Aquario da Bacia do Rio Sao Francisco;Igreja Sao Francisco;Museu de arte da Pampulha;Casa do Baile;Casa Kubitschek;Iate Clube;Zoologico e Jardim Botanico;Parque Ecologico da Pampulha;Mineirao;Mineirinho;Parque Guanabara;Orla da lagoa;;;;7;10;10;10;10;5;3;2;7;Pampulha;Bares Botecos e Restaurantes;Cultura e arte _cinema teatro shows;Festas em locais privados_baladas eventos;Atividades vinculadas a Esportes;Atividades ao ar livre _parques praças bosques;Shoppings centers;Consumo de lazer domestico _netflix reuniao de amigos videogames leitura;;;Sim;Sim;Limpeza_ circular entre os atrativos_ mais opcoes de alimentacao e precos acessiveis;Sim;Sim;;Igreja Sao Francisco;;;;Iate Clube;;;Mineirao;;;;;;
11195771243;Feminino;21;De 16 a 24 anos;Outro _especifique_;Fundamental Incompleto;NS;Noroeste;Santo Andre;Noroeste;Santo Andre;Sim;Uma vez por ano;;;;;;;;;;App _99_ Uber_ Cabify;;Nao;Nao;;;;;;;;;;;;;Lazer_passeio;;;0;;Igreja Sao Francisco;;;;;Zoologico e Jardim Botanico;Parque Ecologico da Pampulha;;;;Orla da lagoa;;;;;;;;;;Parque Ecologico da Pampulha;;;;;;;;5;1;5;5;5;NR_NA;NR_NA;5;10;Noroeste;;;Festas em locais privados_baladas eventos;;;Shoppings centers;Consumo de lazer domestico _netflix reuniao de amigos videogames leitura;;;Sim;Sim;Limpeza;Nao;Nao;;;;;;;;;;;;;;;
11195744930;Feminino;38;De 35 a 44 anos;Sem instrucao formal;;Nao possui renda;Oeste;Palmeiras;Nao estuda_Nao trabalho_Trabalho itinerante;;Nao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oeste;;;;;;;;;Visitar amigos;NS_NR;Sim;Tratar a agua;Nao;Nao;;;;;;;;;;;;;;;
11195686950;Masculino;17;De 16 a 24 anos;Ensino Medio completo_tecnico;;NS;Oeste;Palmeiras;Oeste;Palmeiras;Sim;Nao frequento;Distancia do meu local de residencia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pampulha;;;;Atividades vinculadas a Esportes;Atividades ao ar livre _parques praças bosques;;;;;Sim;Sim;Limpeza da lagoa;Nao;Sim;;Igreja Sao Francisco;;;;;;;;;;;Espelho Dagua;;
11195609575;Feminino;41;De 35 a 44 anos;Ensino Medio completo_tecnico;;Entre 1 SM e 3 SM _ RS 998,01 a RS 2994,00;Oeste;Palmeiras;Oeste;Palmeiras;Nao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pampulha;;Cultura e arte _cinema teatro shows;;;Atividades ao ar livre _parques praças bosques;;;;;Nao;Sim;Mais opcoes de lazer;Nao;Nao;;;;;;;;;;;;;;;
